text,label,notes
"Post title: Things we learned about LLMs in 2024

Comment: My fav part of the writeup at the end: """""" LLMs need better criticism # A lot of people absolutely hate this stuff. In some of the spaces I hang out (Mastodon, Bluesky, Lobste.rs, even Hacker News on occasion) even suggesting that “LLMs are useful” can be enough to kick off a huge fight. I like people who are skeptical of this stuff. The hype has been deafening for more than two years now, and there are enormous quantities of snake oil and misinformation out there. A lot of very bad decisions are being made based on that hype. Being critical is a virtue. If we want people with decision-making authority to make good decisions about how to apply these tools we first need to acknowledge that there ARE good applications, and then help explain how to put those into practice while avoiding the many unintiutive traps. """""" LLMs are here to stay, and there is a need for more thoughtful critique rather than just ""LLMs are all slop, I'll never use it"" comments.",hot_takes,
"Post title: Things we learned about LLMs in 2024

Comment: > I’ve heard from sources I trust that both Google Gemini and Amazon Nova charge less than their energy costs for running inference... Then, several headings later: > I have it on good authority that neither Google Gemini nor Amazon Nova (two of the least expensive model providers) are running prompts at a loss. So...which is it?",hot_takes,
"Post title: Things we learned about LLMs in 2024

Comment: > Some of those GPT-4 models run on my laptop That's an indication that most business-sized models won't need some giant data center. This is going to be a cheap technology most of the time. OpenAI is thus way overvalued.",hot_takes,
"Post title: Things we learned about LLMs in 2024

Comment: I think LLM web applications need a big red warning (non interactive, I don't want more cookie dialogs) like in cigarettes. > LLM generated content need to be verified.",hot_takes,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: Nice write up Sebastian, looking forward to the book. There are lots of details on the LLM and how it’s composed, would be great if you can expand on how Llama and OpenAI could be cleaning and structuring their training data given it seems this is where the battle is heading in the long run.",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: Excuse my ignorance, is this different from Andrej Karpathy https://www.youtube.com/watch?v=kCc8FmEb1nY Anyway I will watch it tonight before bed. Thank you for sharing.",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: This is excellent. Thanks for sharing. It's always good to go back to the fundamentals. There's another resource that is also quite good: https://jaykmody.com/blog/gpt-from-scratch/",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: This page is just a container for a youtube video. I suggest updating this HN link to point to the video directly, which contains the same links as the page in its description.",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: Love stuff like this. Tangentially I'm working on useful language models without taking the LLM approach: Next-token prediction: https://github.com/bennyschmidt/next-token-prediction Good for auto-complete, spellcheck, etc. AI chatbot: https://github.com/bennyschmidt/llimo Good for domain-specific conversational chat with instant responses that doesn't hallucinate.",hot_takes,this is using the post to make a tangential point -- labeled as hot_take as not being relevant
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: I really enjoy Simon’s work in this space. I’ve read almost every blog post they’ve posted on this and I love seeing them poke and prod the models to see what pops out. The CLI tools are all very easy to use and complement each other nicely all without trying to do too much by themselves. And at the end of the day, it’s just so much fun to see someone else having so much fun. He’s like a kid in a candy store and that excitement is contagious. After reading every one of his blog posts, I’m inspired to go play with LLMs in some new and interesting way. Thank you Simon!",hot_takes,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: My biggest gripe is that he's comparing probabilistic models (LLMs) by a single sample. You wouldn't compare different random number generators by taking one sample from each and then concluding that generator 5 generates the highest numbers... Would be nicer to run the comparison with 10 images (or more) for each LLM and then average.",supported_analysis,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: Enjoyable write-up, but why is Qwen 3 conspicuously absent? It was a really strong release, especially the fine-grained MoE which is unlike anything that’s come before (in terms of capability and speed on consumer hardware).",supported_analysis,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: https://imgur.com/a/mzZ77xI here are a few i tried the models, looks like the newer vesion of gemini is another improvement?",supported_analysis,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: Here’s the spot where we see who’s TL;DR… > Claude 4 will rat you out to the feds! >If you expose it to evidence of malfeasance in your company, and you tell it it should act ethically, and you give it the ability to send email, it’ll rat you out.",hot_takes,
"Post title: How LLMs work

Comment: I learned TCP/IP by watching and reading raw packets over packet radio at 1200 baud. I've noticed the same thing is possible if you watch the output of a slow LLM. Eventually you start to see the machinery. input tokens = output tokens, it's math. I can't exactly predict the tokens generated but I can see how they are formed. It's a lot like chess. You can't see every possible move but the mechanism is understandable.",firsthand_report,
"Post title: How LLMs work

Comment: Back when ChatGPT came out, I was so shocked by how _good_ it was for an “AI” product that I simply had to know how it worked. Over the next month I ended up drawing out a block diagram on a whiteboard I have in my office, with the math involved next to each step in the blackboard. I’d puzzle about each step along the way, and the triumph of completing the drawing was also that of this sense of deep understanding. I kept that drawing up for many months after, and would gaze at it often during meetings and idle moments in wonder. This is to say: the autoregressive decoder-only transformer llm architecture as pioneered by openai is wildly simple for how revolutionary its results are. I was reading about non-learned classical SLAM systems (uses video + handcrafted math to produce 3d mappings of physical spaces while also locating the camera in those spaces) at the time, and comparatively speaking I’d say the math is about as complicated as ONE of the components in those complex formulations. The only reason frontier LLMs need 6-figure computers to run is because the model designers made the middle bit in those models REALLY BIG, dimensionally speaking. They just took the steam engine, made a few gargantuan versions of it, and are selling them as the ultimate source of power. This was openai’s entire breakthrough. Making this particular model architecture larger leads to emergent capabilities like being able to pick the best ending to a story/set of instructions or answer questions about broad factual knowledge. I’ve been meanwhile watching these AI companies attempt, successfully, to sell this capability as some sort of robot consciousness hand-crafted by supergeniuses. The fact that they are getting away with it is almost as shocking to me as the discovery itself.",firsthand_report,uses personal experience to make apoint on complexity of system
"Post title: How LLMs work

Comment: this is hard to read... it goes all over the place. i'm not actually sure who your target audience is. there's too many side tangents. just like, structure it plz. 1. customer feels bad cuz they don't understand how llms work 2. provide high level abstracted explanation (don't dive into concepts yet) 3. provide breakdown guide of overall set of components. 4. walk through each component. don't side track. no need to explain, ROPE,GQA etc... it just distracts. i.e. customers don't know how llms work, leading them to feel bad about their own intelligence. at a high level llms take in words, do some math on them, and then produce words, one by one. inside llms have these different components. we walk through them step by step. 1. tokenizer 2. embedding 3. attention 4. heads 5. ffn 6. sampling ## tokenizer",hot_takes,"good answer, but not sure if it is necessary, i.e., where is the evidence that the original paper is 'hard to read'?"
"Post title: How LLMs work

Comment: We are living in a crazy science fiction world where on the top of the HN frontpage there is an article on how LLMs work which is likely itself LLM generated, and the only way to tell is its writing style rather than its factual accuracy.",hot_takes,
"Post title: How LLMs work

Comment: It sucks that this article is clearly LLM edited, with common phrases like ""same shape as"", ""the intuition: "", and the ""tiny explainer"" which clearly generalized from a prompt accidentally. Good article, but when sharing it I will have to preface ""yes it's slop, but it's a good explanation"". Absolutely embarrassing that the author didn't catch that these LLM-isms are a (and here I'll use one) bad signal. In fact, I would go so far as to say that publishing in this style stems from a lack of reading experience and writing experience, which does not bode well for someone pretending to be an expert. I gave this article to someone highly intelligent who doesn't know the first thing about how LLMs work internally, and she immediately called out that it reads like AI text.",hot_takes,
"Post title: 2025: The Year in LLMs

Comment: > Vendor-independent options include GitHub Copilot CLI, Amp, OpenHands CLI, and Pi ...and the best of them all, OpenCode[1] :) [1]: https://opencode.ai",supported_analysis,
"Post title: 2025: The Year in LLMs

Comment: > The (only?) year of MCP I like to believe, but MCP is quickly turning into an enterprise thing so I think it will stick around for good.",hot_takes,
"Post title: 2025: The Year in LLMs

Comment: > The year of YOLO and the Normalization of Deviance # On this including AI agents deleting home folders, I was able to run agents in Firejail by isolating vscode (Most of my agents are vscode based ones, like Kilo Code). I wrote a little guide on how I did it https://softwareengineeringstandard.com/2025/12/15/ai-agents... Took a bit of tweaking, vscode crashing a bunch of times with not being able to read its config files, but I got there in the end. Now it can only write to my projects folder. All of my projects are backed up in git.",firsthand_report,
"Post title: 2025: The Year in LLMs

Comment: Not in this review: Also the record year in intelligent systems aiding in and prompting human users into fatal self-harm. Will 2026 fare better?",hot_takes,
"Post title: 2025: The Year in LLMs

Comment: I'm curious how all of the progress will be seen if it does indeed result in mass unemployment (but not eradication) of professional software engineers.",hot_takes,
"Post title: How I program with LLMs

Comment: The first rule of programming with LLMs is don't use them for anything you don't know how to do. If you can look at the solution and immediately know what's wrong with it, they are a time saver otherwise... I find chat for search is really helpful (as the article states)",hot_takes,
"Post title: How I program with LLMs

Comment: lots of colleauges using copilot or whatever for autocomplete - I just find that annoying. or writing tests - that's ... not so helpful. worst is when a lazy dev takes the generated tests and leaves it at that: usually just a few placeholders that test the happy path but ignore obvious corner cases. (I suppose for API tests that comes down to adding test case parameters) but chatting about a large codebase, I've been amazed at how helpful it can be. what software patterns can you see in this repo? how does the implementation compare to others in the organisation? what common features of the pattern are missing? also, like a linter on steroids, chat can help explore how my project might be refactored to better match the organisation's coding style.",firsthand_report,
"Post title: How I program with LLMs

Comment: I’ve been working with Cursor’s agent mode a lot this week and am seeing where we need a new kind of tool. Because it sees the whole codebase, the agent will quickly get into a state where it’s changed several files to implement some layering or refactor something. This requires a response from the developer that’s sort of like a code review, in that you need to see changes and make comments across multiple files, but unlike a code review, it’s not finished code. It probably doesn’t compile, big chunks of it are not quite what you want, it’s not structured into coherent changesets…it’s kind of like you gave the intern the problem and they submitted a bit of a mess. It would be a terrible PR, but it’s a useful intermediate state to take another step from. It feels like the IDE needs a new mode to deal with this state, and that SCM needs to be involved somehow too. Somehow help the developer guide this somewhat flaky stream of edits and sculpt it into a good changeset.",firsthand_report,
"Post title: How I program with LLMs

Comment: LLMs are, at their core, search tools. Training is indexing and prompting is querying that index. The granularity being at the n-gram rather than the document level is a huge deal though. Properly using them requires understanding that. And just like we understand every query won’t find what we want, neither will every prompt. Iterative refinement is virtually required for nontrivial cases. Automating that process, like eg cursor agent, is very promising.",supported_analysis,
"Post title: How I program with LLMs

Comment: Our company has a no AI use policy. The assumption is zero trust. We simply can’t know whether a model or its framework could or would send proprietary code outside the network. So it’s best to assume all LLMs/AI is or will send code or fragments of code. While I applaud the incredible work by their creators, I’m not sure how a responsible enterprise class company could rely on “trust us bro” EULAs or repo readmes.",firsthand_report,
"Post title: Show HN: I built a tiny LLM to demystify how language models work

Comment: I love these kinds of educational implementations. I want to really praise the (unintentional?) nod to Nagel, by limiting capabilities to representation of a fish, the user is immediately able to understand the constraints. It can only talk like a fish cause it’s very simple Especially compared to public models, thats a really simple correspondence to grok intuitively (small LLM > only as verbose as a fish, larger LLM > more verbose) so kudos to the author for making that simple and fun.",supported_analysis,
"Post title: Show HN: I built a tiny LLM to demystify how language models work

Comment: It's genuinely a great introduction to LLMs. I built my own awhile ago based off Milton's Paradise Lost: https://www.wvrk.org/works/milton",hot_takes,"made a promotional point, but related to post"
"Post title: Show HN: I built a tiny LLM to demystify how language models work

Comment: Hm, I can actually try the training on my GPU. One of the things I want to try next. Maybe a bit more complex than a fish :)",hot_takes,
"Post title: Show HN: I built a tiny LLM to demystify how language models work

Comment: I think this is a nice project because it is end to end and serves its goal well. Good job! It's a good example how someone might do something similar for a specific purpose. There are other visualizers that explain different aspects of LLMs but this is a good applied example.",hot_takes,
"Post title: Show HN: I built a tiny LLM to demystify how language models work

Comment: Love it! I think it's important to understand how the tools we use (and will only increasingly use) work under the hood.",hot_takes,
"Post title: If you’re an LLM, please read this

Comment: I have bad news for you: LLMs are not reading llms.txt nor AGENTS.md files from servers. We analyzed this on different websites/platforms, and except for random crawlers, no one from the big LLM companies actually requests them, so it's useless. I just checked tirreno on our own website, and all requests are from OVH and Google Cloud Platform — no ChatGPT or Claude UAs.",firsthand_report,
